Einzelperson (D.h. z.B. bei Altruismus, sich selbst gegenüber altruistisch sein, also kein Altruismus, wie wir ihn definieren. Damit soll nur gesagt sein, dass die Strukturgröße streng gedacht werden soll.);Nation / Gruppierung, als vielleicht Opportunisten (= Personen, welche Gelegenheiten ergreifen) (halb bis größtenteils sicher);(Föderation aus) Pragmatikern (sicher);Konsumenten oder Sklavenhalter als Gesellschaft (sicher);2 Personen, Streber, Karrieremenschen (sicher);Gremium oder Kommission oder Jury oder Ausschuss (größtenteils sicher);Bürger, Volk (größtenteils sicher);Verbund eines Kollektivs (sicher);die Betroffenen, die Beteiligten (größtenteils sicher bis sicher);Alle, die sich als Erdenbewohner definieren und zusammen die Welt gestalten wollen (größtenteils sicher);Publikum und Merkmalsträger, Menschen mit Charakteristikum (größtenteils sicher);Statistikexperten, Datenexperten im Sonnen-System und auf Planeten  (größtenteils sicher);die Hilfsbedürftigen um die Schwarzen Löcher einer Galaxie (größtenteils sicher);die Experten und Spezialisten in der Galaxie (größtenteils sicher);die an fremden Leben sehr interessierte Menschheit im Universum, statt die, die die Menschheit im Universum anführen (größtenteils sicher);die Menschen in ihren Berufen, alle Berufe letztendlich – und damit die Menschheit im Multiversum, statt denen die die Menschheit im Multiversum anführen (größtenteils sicher)
Stadtstaat, Nation, Gruppierung;;Kunde;;;;;;;;;;;;;
eine föderale Struktur (12 Stämme Israels), eine Föderation (Staffelungen von Untergruppen, wie Bezirke oder Bundesländer, etc.);Bundesrat, d.h. eine Organisationsform einer Föderation, im Bezug zu ihren Bundesländern;;Personal;;;;;;;;;;;;
"Imperium (z.B. römisches, aber auch die USA); Das sehr sehr einfache Prinzip Top-Down, Überordnung, Unterordnung.";;Bürger;;;;;;;;;;;;;
Einzelperson (D.h. z.B. bei Altruismus, sich selbst gegenüber altruistisch sein, also kein Altruismus, wie wir ihn definieren. Damit soll nur gesagt sein, dass die Strukturgröße streng gedacht werden soll.);;;;;;;;;;;;;;;
Nation, Gruppierung;;;;;;"politische Arbeit der Unternehmen, Lobbyarbeit ;Empfänger von Spenden und ggf. Sozialhilfeempfänger; Firmen, die Subventionen erhalten";;;;;;;;;
Supranationales Gebilde (wie EU oder Länder der katholischen Kirche) (Staffelungen von Untergruppen, wie Länder innerhalb des supranationalen Gebildes, etc.);;;;Bürgeramt, Arbeitsamt;Wirtschaftspolitik, Spender, Steuerbehörde (Ist das etwa ein Widerspruch: Spender, weil es um das Geben geht und Steuerbehörde, weil 7 über dem Bruchstricht steht und 7 ist der Staat und 6 unter dem Bruchstrich ist die Wirtschaft);;Verteidigunsministerium;;;;;;;;
Militärbündnis, der strategische Raum mit Strategie-Detail-Informationen;;;;;;NATO-Generalsekretär oder irgendein anderes Verteidigungsbündnis;;;;;;;;;
UN – die Vereinten Nationen;;;;;;;;;;;;;;;
Sonnen-System-Himmelskörper-Erhaltungs-Regierung (Planeten, Monde, Satelliten, Raumstationen, Objekte die Monde umkreisen);;;;;;;;;;;;;;;
Chef eines Mondes, wenn mehrere Himmelskörper (10) kolonisiert sind: Ressourcen eintreiben, Mond systematisieren und in Systeme einteilen und als Gesamtsystem zu sehen;;;;;;;;;;;;;;;
"Die Hierarchie (ergibt sich durch Mengen in Mengen, strukturell) (und die Hierarchien in Hierarchien) des Sonnensystems; Chef eines Planeten (und mit verantwortlich für das ganze Sonnensystem, zusammen mit vielleicht auch Typ 11), wenn mehrere Planeten kolonisiert sind: Verwalten im Sinn von Ordnung herstellen, damit andere das nutzen (3), um zu managen (4) oder damit Manager (4) einen Nutzen (3) haben, und dafür damit der Planet Vorteile (6) haben kann (2) und ordnen (12) dafür, dass das Überleben (3) der Lebewesen auf dem planeten geändert (4) wird.";;;;;;;;;;;;;;;
Himmelskörper, wie z.B. Planeten um schwarze Löcher, d.h. meist oder immer (Ich bin kein totaler Physikexperte.) Galaxie-Himmelskörper (ggf. manchmal die sogenannte „schwarze Sonne“);;;;;;;;;;;;;;;
Spezies Mensch in galaktischer Föderation und ggf. auch für Sonnensysteme verantwortlich;;;;;;;;;;;;;;;
Spezies Mensch in intergalaktischen Weltall, im Universum;;;;;;;;;;;;;;;
"Spezies Mensch im Multiversum, ohne andere Lebensformen zu verwalten; eigentlich ist es das, aber es kann auch ein wenig als Ebene Universum (eigentlich 15) verstanden werden";;;;;;;;;;;;;;;
"Eine Abteilung in einer Organisation (z.B. 3 Personen oder eine galaktisch riesige Organisation, etc.): wie Innenministerium;die Gesellschaft und oder die Einzelperson mit ihren Sitten (bzw. Gruppierung, Nation und oder Einzelperson) (ab 17 bis unendlich immer alle anderen Lebensformen mit verwalten; unter 17 nicht)";;;;;;;;;;;;;;;
Eine Abteilung in einer Organisation (z.B. 3 Personen oder eine galaktisch riesige Organisation, etc.): die Gesellschaft mit ihrer Beziehungen (bzw. Gruppierung, Nation);;;;;;;;;;;;;;;
Eine Abteilung in einer Organisation (z.B. 3 Personen oder eine galaktisch riesige Organisation, etc.): Subkultur (bzw. Gruppierung, Nation) oder Abteilung für alles Äußere vergleichbar zu Außenministerium;;;;;;;;;;;;;;;
Eine Abteilung in einer Organisation (z.B. 3 Personen oder eine galaktisch riesige Organisation, etc.): Familie, Gesellschaftsschicht (bzw. Gruppierung, Nation) vergleichbar zu Familienministerium;;;;;;;;;;;;;;;
Eine Abteilung in einer Organisation (z.B. 3 Personen oder eine galaktisch riesige Organisation, etc.): Arbeitsplatz (bzw. Gruppierung, Nation);;;;;;;;;;;;;;;
Eine Abteilung in einer Organisation (z.B. 3 Personen oder eine galaktisch riesige Organisation, etc.): Bildungseinrichtung, ggf. mit Anforderungen eines Universalgelehrten (bzw. Gruppierung, Nation);;;;;;;;;;;;;;;
Eine Abteilung in einer Organisation (z.B. 3 Personen oder eine galaktisch riesige Organisation, etc.): (Militär eher nicht), Polizei, Geheimdienst (bzw. Gruppierung, Nation);;;;;;;;;;;;;;;
Eine Abteilung in einer Organisation (z.B. 3 Personen oder eine galaktisch riesige Organisation, etc.): Jemand der soziale Netzwerke baut, im Leben oder auch im Internet, ggf. beruflich (bzw. Gruppierung, Nation);;;;;;;;;;;;;;;
Eine Abteilung in einer Organisation (z.B. 3 Personen oder eine galaktisch riesige Organisation, etc.): Freundeskreis, die gesamte Gesellschaft (bzw. Gruppierung, Nation);;;;;;;;;;;;;;;
"Etwas zwischen Organisationen (z.B. Organisationen „1 bis 128“ können gemeint sein, also auch Kooperationen zwischen Planeten oder Sonnen-Systemen): kooperierende Organisationen; ansonsten: Rettungswesen, z.B. Feuerwehr, Notarzt (bzw. supranationales Gebilde wie EU oder katholische Kirche oder Föderation)  (Staffelungen von Untergruppen, wie Länder innerhalb des Kooperationsgebietes, etc.)";;;;;;;;;;;;;;;
"Etwas zwischen Organisationen (z.B. Organisationen „1 bis 128“ können gemeint sein, also auch ein Urlaubs-Gebiet des Genuss’ zwischen Planeten oder Sonnen-Systemen): einheitsstiftend zwischen Organisationen; Urlaubs-Orte, alle (bzw. supranationales Gebilde wie EU oder katholische Kirche oder Föderation)";;;;;;;;;;;;;;;
eine Organisation, die Organisationen übergeordnet ist (ein Dachverband) und diese verwaltet: räumliches Umfeld bzw. das Umfeld von dir, bei dem du, zumindest rein prinzipiell, etwas ändern kannst (bzw. Größenordnung wie Militärbündnis oder dessen Kulturkreis oder Imperium);;;;;;;;;;;;;;;
eine Organisation, die Organisationen übergeordnet ist (ein Dachverband) und diese verwaltet: geistiges Umfeld, d.h. alle Menschen und andere Lebensformen, mit denen du geistig wechselwirkst: Das ist dein Kosmos! (bzw. Größenordnung wie Militärbündnis oder dessen Kulturkreis oder Imperium);;;;;;;;;;;;;;;
eine Organisation, die Organisationen übergeordnet ist (ein Dachverband) und diese verwaltet: energetisches Umfeld (z.B. das der Götter) (bzw. Größenordnung wie Militärbündnis oder dessen Kulturkreis oder Imperium);;;;;;;;;;;;;;;
eine Organisation, die Organisationen übergeordnet ist (ein Dachverband) und diese verwaltet: emotionales Umfeld (deshalb verhalten sie sich u.a. „reserviert“) (bzw. Größenordnung wie Militärbündnis oder dessen Kulturkreis oder Imperium);;;;;;;;;;;;;;;
eine Organisation, die Organisationen übergeordnet ist (ein Dachverband) und diese verwaltet: materielles Umfeld (d.h. u.a. „Selbstherrlich“, etc. sein, weil man es sich materiell leisten kann) (bzw. Größenordnung wie Militärbündnis oder dessen Kulturkreis oder Imperium);;;;;;;;;;;;;;;
Eine Verwaltung möglichst aller, aber nicht notwendigerweise aller, Organisationen: der öffentliche Raum (bzw. UN, also wie Strukturgröße 9, vielleicht auch Einzelperson wie die 5);;;;;;;;;;;;;;;
Eine Verwaltung möglichst aller, aber nicht notwendigerweise aller, Organisationen: der private Raum (also alles, Berufsleben, und mehr als nur zuhause) (bzw. UN, also wie Strukturgröße 9, vielleicht auch Einzelperson wie die 5);;;;;;;;;;;;;;;
Eine Verwaltung möglichst aller, aber nicht notwendigerweise aller, Organisationen: der Raum der Privilegierten (bzw. UN, also wie Strukturgröße 9, vielleicht auch Einzelperson wie die 5);;;;;;;;;;;;;;;
Eine Verwaltung möglichst aller, aber nicht notwendigerweise aller, Organisationen: der Raum der Benachteiligten (bzw. UN, also wie Strukturgröße 9, vielleicht auch Einzelperson wie die 5);;;;;;;;;;;;;;;
